content_len,norm_score
3,0.0
150,-0.6666666666666667
4,0.0
191,-0.5235602094240838
14,7.142857142857142
25,-4.0
121,0.0
15,0.0
124,-0.8064516129032258
36,0.0
7,0.0
7,0.0
12,0.0
8,0.0
21,0.0
6,0.0
8,12.5
36,0.0
27,0.0
41,2.4390243902439024
14,0.0
12,0.0
21,0.0
23,0.0
44,0.0
31,0.0
10,0.0
17,0.0
68,0.0
92,1.0869565217391304
7,0.0
4,0.0
13,0.0
143,0.0
21,0.0
4,0.0
12,0.0
15,6.666666666666667
43,0.0
18,0.0
10,0.0
24,0.0
48,0.0
38,0.0
8,0.0
121,0.0
143,-0.6993006993006993
41,2.4390243902439024
71,1.4084507042253522
68,0.0
19,0.0
33,3.0303030303030303
104,0.9615384615384616
15,6.666666666666667
8,0.0
12,0.0
27,0.0
12,0.0
6,0.0
18,0.0
17,5.88235294117647
3,0.0
3,0.0
19,0.0
52,0.0
4,0.0
87,0.0
34,0.0
48,-2.083333333333333
24,0.0
7,0.0
49,2.0408163265306123
66,-1.5151515151515151
18,0.0
11,0.0
18,0.0
14,0.0
13,0.0
54,0.0
18,0.0
78,-1.282051282051282
25,0.0
23,0.0
42,0.0
30,3.3333333333333335
56,0.0
16,0.0
13,0.0
25,0.0
13,0.0
10,0.0
35,0.0
21,0.0
36,0.0
37,2.7027027027027026
8,0.0
197,-1.015228426395939
27,3.7037037037037033
11,0.0
13,7.6923076923076925
8,0.0
10,0.0
14,7.142857142857142
12,0.0
15,0.0
8,0.0
40,0.0
41,0.0
5,0.0
21,0.0
7,0.0
13,-7.6923076923076925
28,0.0
20,0.0
11,0.0
7,0.0
8,0.0
8,0.0
209,0.4784688995215311
155,0.0
21,0.0
5,0.0
62,-1.6129032258064515
17,0.0
56,0.0
15,0.0
20,0.0
11,0.0
15,0.0
4,0.0
15,6.666666666666667
17,0.0
46,2.1739130434782608
11,0.0
15,0.0
24,0.0
30,0.0
38,0.0
13,0.0
29,0.0
69,0.0
3,0.0
16,0.0
7,0.0
68,1.4705882352941175
154,0.0
6,0.0
22,0.0
17,0.0
13,0.0
19,5.263157894736842
19,0.0
104,0.0
40,0.0
31,0.0
7,0.0
22,0.0
15,0.0
31,0.0
17,0.0
34,0.0
158,0.6329113924050633
19,0.0
12,0.0
6,16.666666666666664
26,0.0
54,0.0
187,0.53475935828877
14,0.0
36,0.0
8,0.0
12,0.0
20,0.0
30,3.3333333333333335
14,-7.142857142857142
28,0.0
8,0.0
141,0.7092198581560284
17,0.0
80,1.25
23,0.0
13,0.0
16,6.25
143,0.6993006993006993
8,0.0
11,0.0
20,0.0
13,7.6923076923076925
72,0.0
14,0.0
21,0.0
54,1.8518518518518516
54,1.8518518518518516
22,4.545454545454546
73,1.36986301369863
72,1.3888888888888888
11,9.090909090909092
75,1.3333333333333335
104,0.9615384615384616
26,7.6923076923076925
13,7.6923076923076925
7,14.285714285714285
30,3.3333333333333335
70,1.4285714285714286
15,0.0
10,0.0
24,0.0
9,0.0
22,9.090909090909092
14,0.0
10,0.0
14,0.0
10,0.0
7,0.0
14,7.142857142857142
49,0.0
9,11.11111111111111
38,0.0
21,0.0
27,0.0
3,0.0
17,0.0
95,1.0526315789473684
94,1.0638297872340425
9,0.0
14,0.0
4,0.0
26,0.0
4,0.0
16,0.0
11,0.0
7,0.0
12,0.0
199,1.0050251256281406
60,0.0
31,0.0
26,-3.8461538461538463
43,2.3255813953488373
34,0.0
32,-3.125
111,2.7027027027027026
190,0.5263157894736842
23,0.0
13,0.0
5,20.0
8,25.0
26,0.0
12,0.0
79,0.0
13,0.0
15,0.0
72,0.0
20,0.0
80,1.25
28,0.0
22,0.0
44,2.272727272727273
77,0.0
24,0.0
14,0.0
6,0.0
4,0.0
17,0.0
6,0.0
7,0.0
37,-2.7027027027027026
16,-6.25
10,0.0
34,0.0
13,0.0
13,0.0
121,0.0
13,0.0
73,1.36986301369863
7,0.0
20,0.0
16,0.0
15,0.0
10,0.0
8,0.0
41,2.4390243902439024
28,0.0
8,0.0
6,0.0
21,0.0
80,-1.25
60,1.6666666666666667
8,12.5
29,0.0
58,1.7241379310344827
13,7.6923076923076925
11,0.0
58,-1.7241379310344827
